,"Järvien lukumäärä","Pinta-ala yhteensä"
Pieni-Uimari,1,5 ha
Mölkkä,1,5 ha
Sulajärvi,3,176 ha
Mielakka,1,180 ha
Koskenalanen,1,4 ha
Suoli-Kumpunen,1,15 ha
Kannuslampi,8,16 ha
Iso-Matikka,1,2 ha
Kalvskärsträsket,1,1 ha
Tsuhtsjävri,1,55 ha
Nikulinlampi,1,7 ha
Kultimajärvi,1,15 ha
Juholanlampi,1,5 ha
Vähä-Sonnanen,1,1 ha
Muottajärvi,2,20 ha
Kirmoilampi,2,4 ha
Ahvenaiset,2,9 ha
Etelä-Lahnalampi,1,45 ha
Suuri-Juminen,1,379 ha
Sumsanjärvi,1,123 ha
Ala-Sullampi,1,3 ha
Konttajärvi,1,235 ha
Roominsuonlammi,1,1 ha
Sandsundsfjärden,1,104 ha
Yli-Karttimo,1,51 ha
Maitolampi,4,30 ha
Koskutlampi,2,3 ha
Riistavesi,1,2 317 ha
"Bogsböle träsk",1,2 ha
Korottimenjärvi,1,3 ha
Sankkinen,1,3 ha
"Pieni Venejärvi",3,41 ha
Nytkyn,2,432 ha
Verkkojärvi,7,263 ha
Säänjärvi,1,80 ha
"Alimmainen Ruotinjärvi",1,11 ha
Pikku-Köhkörö,1,2 ha
Lapjärvi,4,152 ha
Myyräjärvi,2,4 ha
Ala-Läyliä,1,2 ha
Ruumenlampi,1,2 ha
Iso-Palvanen,1,24 ha
Keräsjavri,1,23 ha
Poskeinen,2,6 ha
Vemmellampi,2,9 ha
Mielsattijärvi,1,16 ha
Perttumajärvi,1,4 ha
"Ylimmäinen Salmilampi",2,29 ha
"Suuri Nousjärvi",1,36 ha
Koivukivalonlampi,1,3 ha
Kiviselkäjärvi,2,32 ha
Lakolampi,1,1 ha
"Iso Koukkujärvi",2,18 ha
"Iso Majatlampi",1,4 ha
Onklampi,1,2 ha
Iso-Toivakkalampi,1,5 ha
Kivikkojärvi,1,23 ha
Vähä-Valvatti,1,54 ha
Pieni-Kiimanen,1,1 037 ha
Kekälisenlampi,2,7 ha
Yli-Luoma,1,22 ha
Höytjärvi,1,24 ha
Savivesi,1,1 289 ha
Ylä-Siikajärvi,3,315 ha
Kultajärvi,2,95 ha
Pieni-Rasti,1,29 ha
Ala-Vuolujärvi,1,53 ha
Yli-Lauttalampi,1,3 ha
Lahosjärvi,1,11 ha
Gladträsk,1,1 ha
Kauluslampi,1,1 ha
"Kåtö Storträsket",1,8 ha
"Yläinen Pirttijärvi",1,4 ha
Paattinkijärvi,1,352 ha
"Pieni Kaihijärvi",1,2 ha
Pahkalampi,40,162 ha
Urtti-Valkeinen,1,5 ha
Kyrsyänjärvi,1,651 ha
Kulha,1,2 ha
Takinkadottamajärvi,1,2 ha
Herustenjärvi,2,20 ha
Palokkaanlampi,1,12 ha
Saari-Oskamo,1,11 ha
"Ylimmäinen Heinäjärvi",1,6 ha
Pikku-Surnu,1,9 ha
Pikku-Varpanen,1,11 ha
Ruodasjärvi,1,35 ha
Porrsjön,1,22 ha
Lumijärvi,4,149 ha
Santaluovi,1,2 ha
Kolumbuslammi,1,1 ha
Salojärvi,1,91 ha
Vaattunkilampi,1,80 ha
Vastajärvi,1,5 ha
Junkinlahti,1,33 ha
Ala-Pulkko,1,56 ha
Järvenjärvi,3,77 ha
Vartusjärvi,1,103 ha
Ahvenus,5,42 ha
"Iso Ollinlampi",1,5 ha
Huhujärvi,1,60 ha
Valkulammi,3,7 ha
Viitalampi,46,290 ha
Lylysokanlampi,1,4 ha
Kuutniemenaukko,1,73 ha
Täilampi,2,4 ha
Umpisuuvuopaja,1,5 ha
"Iso Perimmäinen",1,4 ha
Suuri-Murtonen,1,80 ha
Horstinlampi,1,3 ha
Mäki-Särkijärvi,1,52 ha
Patakahinlampi,1,13 ha
Kuittua,2,54 ha
Norssinjärvi,1,74 ha
Immerlampi,1,1 ha
Pohjois-Pyrstiö,1,1 ha
Tuikkanen,1,21 ha
Jäänuottajärvi,2,13 ha
"Yläinen Talluslammi",1,5 ha
Mahlunjärvi,1,714 ha
Hopiakivijärvi,1,16 ha
"Pieni Salmijärvi",11,80 ha
Sirkjärvi,1,123 ha
Haapijärvi,1,26 ha
Miekolammi,1,6 ha
Pikku-Palonen,1,11 ha
Moalkejavri,1,17 ha
Suuri-Onkamo,1,3 211 ha
Katjanlampi,1,2 ha
Nummilampi,1,3 ha
Iso-Mutanen,2,10 ha
"Pieni Niinijärvi",2,8 ha
Kuskoskträsket,1,36 ha
Rosamojärvi,1,3 ha
"Iso Matolampi",4,22 ha
Tuhkaalampi,1,3 ha
Metolampi,1,11 ha
Tevätlammi,1,7 ha
Hälftesträsket,1,4 ha
Kerolampi,1,2 ha
Norrviksträsken,1,6 ha
"Pieni Akonjärvi",1,11 ha
Ässälänjärvi,1,10 ha
Urimonlampi,1,2 ha
Leivonvesi,1,5 413 ha
Metsolanlampi,1,1 ha
Pursiaislampi,1,1 ha
Musta-Loukku,1,2 ha
Kinisjärvi,1,79 ha
Viulukkalampi,1,2 ha
Kelkjärvi,1,187 ha
Kaivojärvi,1,7 ha
"Ylinen Piimäsjärvi",1,21 ha
Noukkalampi,2,3 ha
Toukkalampi,2,7 ha
Alasenlampi,5,49 ha
Lyökinlampi,1,2 ha
"Pikku Mujujärvi",1,6 ha
"Iso Mustajärvi",5,313 ha
Rehvalampi,1,1 ha
Sahrajärvi,2,201 ha
Rukka-Maunu,1,6 ha
Taikinajärvi,3,8 ha
Kaakonlammi,1,1 ha
Liippilammit,1,14 ha
Juhmujärvi,1,8 ha
Keträlampi,1,10 ha
Ylönen,1,4 ha
Majovanjärvi,1,14 ha
Keski-Hepolampi,1,7 ha
"Iso Halla",1,4 ha
"Ylimmäinen Venelampi",1,7 ha
Kitulanlampi,1,8 ha
Aunettarha,1,10 ha
Vetämäjärvi,1,225 ha
"Keskimmäinen Särkkinen",1,3 ha
Haravattnet,2,6 ha
Kvärsjö,1,15 ha
"Syvä Tulilampi",1,3 ha
Välisenlampi,1,9 ha
Mustasenlampi,1,3 ha
Hankalampi,18,133 ha
Patojantammi,1,3 ha
Häggrundspotten,1,1 ha
Suuri-Villanen,1,3 ha
"Vähä Leppäjärvi",2,9 ha
Soutajanlampi,1,31 ha
Palontausjärvi,1,6 ha
Kakarilammi,1,3 ha
Konesjärvi,2,251 ha
Vaakkoi,1,9 ha
Valko-Köykky,1,10 ha
Ryynäslampi,1,2 ha
Himostenjärvi,1,9 ha
Lahdenlampi,3,15 ha
Hepolampi,105,601 ha
Pieni-Raatti,1,2 ha
Pölylampi,3,23 ha
Lentokonelampi,1,2 ha
Suovanalanen,1,7 ha
Ylä-Koutuanjärvi,1,32 ha
Kuntijärvi,1,305 ha
Pyörrelampi,2,4 ha
Ryhänlampi,1,4 ha
Hiekkakuopat,1,2 ha
Kantturalampi,1,9 ha
Torakkalampi,2,3 ha
"Iso Koleskanjärvi",1,6 ha
Iso-Lutti,2,16 ha
Vähä-Linnajärvi,1,1 ha
Palkisjärvi,2,34 ha
Hakolampi,18,114 ha
Mustaperä,1,4 ha
Ilmalampi,1,3 ha
Lähdelampi,2,8 ha
Maistojärvi,1,15 ha
Pieni-Ruotimo,1,81 ha
Mulli,2,8 ha
Puolakkajärvi,1,72 ha
Nuorttibjävri,1,23 ha
Pinnunlampi,1,6 ha
Iso-Kinko,1,12 ha
Iso-Made,1,59 ha
Sautunjärvi,1,41 ha
Haapalampi,36,279 ha
Suoperä,1,2 ha
Kolosjärvi,1,30 ha
Iinijärvi,1,1 ha
Hallinjärvi,1,44 ha
Kukutin,1,3 ha
Kuohanajärvi,1,49 ha
Mankara,1,2 ha
Säinjärvi,1,12 ha
"Pieni Riolampi",1,1 ha
"Pajib Skuolfejavri",1,6 ha
Lahdenluhta,1,4 ha
"Iso Kuuleajärvi",1,10 ha
Hinkuttaja,1,2 ha
Mastolampi,1,13 ha
Ikainen,1,10 ha
Lepikonjärvi,1,3 ha
Kunettijärvi,1,28 ha
Kiurusenlampi,1,10 ha
Parkinlampi,1,16 ha
Poksasenjärvi,1,2 ha
Paha-Ryönä,1,1 ha
Kauraslammi,1,1 ha
"Pieni Valkeajärvi",2,3 ha
Impalampi,1,13 ha
Heinäaronjärvi,1,3 ha
Rieveli,1,4 ha
Iso-Näätälampi,1,9 ha
Kaksiselkäisenlampi,1,2 ha
Vahtolammi,1,4 ha
Molkinlampi,1,12 ha
Outijärvi,1,157 ha
Kastbrunnen,1,2 ha
Kankarinjärvi,1,748 ha
Laurilanlampi,1,37 ha
Lauttanen,4,137 ha
Ranta-Ruonajärvi,1,23 ha
"Iso Hanjärvi",1,13 ha
Ylä-Rieveli,1,3 375 ha
Syrjä-Valkeinen,1,2 ha
Koppalampi,2,7 ha
Kuoksulampi,1,1 ha
Hällämö,1,88 ha
Tärräjärvi,1,2 ha
Juvani,1,7 ha
"Ylimmäinen Suistojärvi",1,15 ha
Sompujärvi,1,20 ha
Pakarainen,1,2 ha
"Pieni Hällämö",1,2 ha
Armojärvi,1,13 ha
Myllyperä,1,8 ha
Pieni-Ahvenainen,2,77 ha
Jiersijärvi,1,55 ha
Tekoallas,5,31 ha
Anttilanjärvi,3,28 ha
Mäkäräinen,1,12 ha
"Iso Nuottilampi",2,26 ha
Kairolampi,1,32 ha
Sortinlampi,1,2 ha
Neva-Musta,1,1 ha
Oravanjärvi,1,2 ha
Pieni-Niemistö,1,2 ha
Gålisjön,1,61 ha
"Pieni Riijärvi",1,2 ha
"Iso Herajärvi",1,42 ha
Hallaminjärvi,1,1 ha
Rihmalampi,1,1 ha
Alavudenjärvi,1,153 ha
Melulampi,1,2 ha
Pöllöslampi,1,20 ha
Kangosjärvi,1,544 ha
"Keskimmäinen Teerilampi",1,3 ha
"Haverö träsk",1,17 ha
"Pieni Viianginjärvi",1,30 ha
Karvas,1,21 ha
Setälänlammi,1,2 ha
Tiviänlampi,1,49 ha
Lepinjärvi,1,123 ha
Metsäisenjärvi,1,34 ha
Laijalampi,1,3 ha
"Suuri Korpijärvi",1,9 ha
Saareke,1,3 ha
Munuanjärvi,1,11 ha
"Pikku Niskajärvi",1,2 ha
"Vähä Hankalammi",1,1 ha
Sievinmäenjärvi,1,32 ha
Stipiksjön,1,11 ha
Keski-Aittolampi,1,10 ha
Kaarttilompolo,1,59 ha
Pirunlampi,1,1 ha
Vetämälampi,1,1 ha
Salmelanpudas,1,2 ha
Kovalanlampi,1,3 ha
Nauksenjärvi,1,24 ha
Seipijärvi,1,34 ha
Kotkanjärvi,1,143 ha
Lettujärvi,1,1 ha
"Iso Niittylampi",2,12 ha
Kala-Kaleton,1,5 ha
Kaksiset,1,2 ha
Säyne,1,165 ha
Muotkantakainenjärvi,1,21 ha
"Ylinen Rajajärvi",1,1 ha
Veihtijärvi,1,38 ha
Kamarilampi,1,4 ha
Kieli-Sipi,1,1 ha
Takakappaleenlampi,1,3 ha
Patajärvi,7,408 ha
Turvakko,2,11 ha
Matolampi,77,416 ha
Vinkkelijärvi,1,8 ha
Tynnärlammi,1,22 ha
Korkealainen,1,28 ha
Sydänlampi,2,5 ha
Ahven-Loukkaja,1,14 ha
Gloet,5,34 ha
Aartaminjärvi,1,57 ha
Haleanlampi,1,6 ha
Nälkämäjärvi,1,116 ha
Neejärvi,1,20 ha
Sahilampi,1,1 ha
Maikonlampi,3,8 ha
Suuri-Lavos,1,4 ha
Stuorrajavri,2,268 ha
Purojärvi,1,1 ha
Pärepuulampi,1,4 ha
Siikalampi,36,389 ha
"Pieni Koppolilampi",1,3 ha
Ylä-Kuorejärvi,1,71 ha
Kiisalampi,2,17 ha
Syrjä-Palolampi,1,2 ha
"Pieni Koisjärvi",1,19 ha
Pisajärvi,1,84 ha
Kuivaslampi,2,8 ha
"Valkea Vehkajärvi",1,11 ha
Hurskainen,1,2 ha
Takkolampi,2,4 ha
Hiiramenjärvi,1,7 ha
"Porttipahdan tekojärvi",1,14 860 ha
Pieni-Mietiäinen,1,2 ha
Puhinlampi,1,11 ha
Pikku-Murtonen,1,3 ha
Ylempi-Koskelojärvi,1,9 ha
Rihunlampi,1,5 ha
"Pieni Kärmelampi",1,5 ha
"Vähä Mustalampi",1,2 ha
"Iso Maiva",1,4 ha
Saita,1,3 ha
Sarvanlammi,1,3 ha
"Iso Myllyjärvi",1,9 ha
"Pieni Vasaralampi",1,9 ha
"Iso Kankaanlampi",1,61 ha
Iso-Metsonen,1,8 ha
Houvinkotajärvi,1,4 ha
Vallolammi,1,26 ha
Sumpen,1,2 ha
Kattelusjärvi,1,15 ha
Koros,1,133 ha
Ingansyntymäjärvi,1,22 ha
Selänjärvi,1,26 ha
Holstinjärvi,2,71 ha
Heinälammi,8,23 ha
Puskojavri,1,20 ha
Vuonteenlahti,1,90 ha
Sirkkajärvi,5,158 ha
Arojärvi,1,39 ha
"Alainen Pitkäjärvi",1,8 ha
Iso-Paastonjärvi,1,24 ha
Jalavajärvi,1,5 ha
Ala-Kisosjärvi,1,60 ha
Vaikkolampi,1,18 ha
Hiunjärvi,1,20 ha
Takkilanlampi,1,39 ha
Viksbergsträsket,1,63 ha
Ahven-Kivilampi,1,2 ha
Pokromi,1,2 ha
Hauk-Kierinka,1,23 ha
Ulkujärvi,9,297 ha
Skorrijärvi,1,9 ha
Hankalammit,3,26 ha
Oppsjön,1,21 ha
Linkujärvi,1,35 ha
Poikainlampi,2,6 ha
Kirkko-Valkeainen,1,2 ha
Puilakkalampi,1,3 ha
Käärlampi,1,3 ha
Pieskijärvi,1,3 ha
Pieni-Laamanen,1,92 ha
Ruihunlampi,1,2 ha
Repale-Haukilampi,1,1 ha
Valkiaisjärvi,6,165 ha
"Iso Lohijärvi",2,1 549 ha
Villigjavr,1,10 ha
"Keskimmäinen Sortolampi",1,2 ha
Ylä-Niini,1,6 ha
Jurvakko,1,3 ha
Pitkänahonlampi,1,2 ha
Oksjärvi,7,881 ha
Asosenlampi,1,19 ha
Paunalampi,1,2 ha
Mutalammi,1,2 ha
Jyppyränriipi,1,4 ha
Eparlampi,1,8 ha
Matala-Salminen,2,11 ha
Riekkoaavanlampi,1,2 ha
"Vähä Hallinlammi",1,1 ha
Kauniinmaanriivi,1,1 ha
"Alimmainen Kerttujärvi",1,9 ha
Pukaronjärvi,1,85 ha
Pölläkänlampi,1,1 ha
Kjulböleträsket,1,12 ha
Koahppelasavdsejavrreluobba,1,2 ha
Eevanlampi,1,3 ha
"Alimmainen Vuostumajärvi",1,30 ha
Vuorilahti,1,10 ha
Maimalampi,1,2 ha
"Pieni Oukonen",1,1 ha
Iso-Ruonanen,1,35 ha
Lomaniskanlampi,1,4 ha
Pyyhinlampi,1,7 ha
Vähä-Juurikka,1,30 ha
Matslampi,1,14 ha
"Yläinen Tervalammi",1,1 ha
"Iso Raatelampi",3,36 ha
"Alimmainen Honkalampi",1,18 ha
Saunalampi,38,236 ha
Kalainen,1,4 ha
"Pieni Valkeinen",2,4 ha
Savujärvi,2,38 ha
Iso-Pyörynen,1,52 ha
Hiirenlampi,3,26 ha
Suontee,1,14 255 ha
Kuuluanlampi,1,1 ha
Raatolammi,1,1 ha
Eslammi,1,1 ha
Hosiojärvi,2,77 ha
Peipunen,2,62 ha
Kaakkurijärvi,8,36 ha
Trångsundsträsket,1,73 ha
Vaara-Suikelolampi,1,4 ha
Kuivikkolammi,1,8 ha
Viljastenjärvi,1,16 ha
Hanholampi,1,1 ha
Niitty-Halmelampi,1,20 ha
Marjojärvi,2,19 ha
Silmo,1,3 ha
Luode-Rehu,1,5 ha
"Vähä Lehmojärvi",1,7 ha
Kvarnvikträsket,1,3 ha
Skukulträsket,1,13 ha
Reposet,1,2 ha
Katainen,1,4 ha
Pieni-Ruokonen,1,11 ha
Pikku-Valvatti,1,3 ha
"Alimmainen Hanhilampi",1,9 ha
Seppäjärvi,1,316 ha
Kaksinkertainen,1,18 ha
Pyytysenlampi,1,11 ha
"Alimmainen Lauttajärvi",1,15 ha
Hanjärvi,1,25 ha
Sivosenlampi,1,9 ha
Yläsuvanto,1,1 ha
Savolampi,1,2 ha
Karvalampi,6,43 ha
Vesikkolampi,2,15 ha
Niilonlampi,1,2 ha
Töllikkö,1,1 ha
Peättsevuotkimjavri,1,32 ha
Metso-Mukanjärvi,1,23 ha
Lassinaavanlampi,1,3 ha
Valkeisjärvi,10,369 ha
Pieni-Pyörynen,1,4 ha
Villenjärvi,2,28 ha
Särkkä-Valkeainen,1,4 ha
Näsilampi,1,1 ha
Tsuonjajavri,5,80 ha
Kirvesjäri,1,2 ha
Herbarsforsflagan,1,2 ha
Pohjois-Lahnalampi,1,29 ha
Säyneislampi,1,31 ha
Sonkalompolo,1,104 ha
Moikanlampi,1,16 ha
"Iso Vuorinen",1,34 ha
Kuotkulampi,1,16 ha
Iso-Raatikko,1,8 ha
Mourunginjärvi,1,11 ha
Hauta-ahonlampi,1,3 ha
Armijärvi,2,80 ha
Vähälompolo,1,10 ha
Keski-Honkalampi,1,9 ha
Jierstirovanjärvi,1,8 ha
Puikkonen,1,12 ha
Soikanselkä,1,9 ha
"Åsgårda träsk",1,35 ha
Onkimusjärvi,1,3 ha
Ylemmäisjärvi,1,7 ha
Keyritty,1,1 829 ha
Paska-Kapusta,1,5 ha
"Suuri Terveenlampi",1,10 ha
Pikku-Vihtanen,1,10 ha
"Iso Pallittajärvi",1,12 ha
Mutoudenlampi,1,54 ha
Iso-Löysäkkä,1,50 ha
Lohijärvi,8,1 112 ha
Montanlampi,1,113 ha
Kurttapaise,1,2 ha
Sarriojärvi,2,74 ha
Pakasaivo,1,8 ha
"Aro-Matin vuopaja",1,3 ha
Raitalammi,1,2 ha
Lillträsk,7,21 ha
Jämsänjärvi,1,67 ha
Jierstijärvi,1,104 ha
Uplanselkä,1,23 ha
Jysmänlampi,1,1 ha
Taaromajärvi,1,15 ha
Korkananjärvi,1,113 ha
Kiehtäjäjärvi,1,15 ha
"Iso Syrjäjärvi",2,67 ha
Seljänlampi,3,43 ha
Kokko-Valkeinen,1,26 ha
Kypärä,1,17 ha
"Pieni Pirttilampi",6,26 ha
Nurmaanjärvi,2,257 ha
"Retais träsk",1,27 ha
"Suuri Hiidenlampi",1,13 ha
"Pikku Mustalampi",1,5 ha
Vahaksenjärvi,1,24 ha
Raikolampi,1,4 ha
Iso-Kannas,1,2 ha
Mannerlampi,1,2 ha
Kaijanlampi,20,148 ha
Valkiaisenlampi,2,18 ha
Malolampi,1,6 ha
Lautaportaanjärvi,1,8 ha
Kukkumajärvi,1,4 ha
Pohjalampi,27,312 ha
Keilulampi,1,2 ha
Hevosvaaranlampi,2,2 ha
Perttumakoskenlaukamo,1,2 ha
Nevanperänlampi,1,8 ha
"Vähä Komiojärvi",1,36 ha
Ala-Koreikkolampi,1,3 ha
Pirttiselkä,1,8 ha
Kalliolampi,115,739 ha
"Vähä Kukkojärvi",1,3 ha
"Iso Haapuanjärvi",1,13 ha
Melajärvi,1,152 ha
Ruotepuolinen,2,11 ha
Iso-Mustonen,1,2 ha
Ylläslompolo,1,69 ha
"Vähä Salijärvi",1,4 ha
Putikonlampi,1,2 ha
"Pahkakosken vl:n yläallas",1,180 ha
"Vähä Hanhilampi",1,3 ha
Sulatlampi,3,13 ha
Apsonlampi,1,2 ha
Aisakkaanlampi,1,6 ha
Iso-Hetteinen,1,7 ha
Lattunalampi,1,7 ha
Kuukkeli,1,2 ha
Tjäruträsket,1,13 ha
Aivusjärvi,1,40 ha
Verkkolampi,19,189 ha
Ahlajärvi,1,49 ha
Haipanjärvi,1,3 ha
Pöllölampi,1,47 ha
"Pikku Kippaljärvi",1,4 ha
Iso-Kuivisto,1,5 ha
Ala-Niini,1,5 ha
Houkonjärvi,1,8 ha
Juonionjärvi,2,110 ha
Autiomusta,1,6 ha
Suonojärvi,1,536 ha
Ylä-Armaslampi,1,3 ha
Siiamojärvi,1,36 ha
Hollampi,1,3 ha
Rintalampi,1,3 ha
Aapa-Tuohilampi,1,19 ha
Pulkanolampi,1,5 ha
"Keskimmäinen Vehkalampi",1,2 ha
Ylilampi,20,243 ha
Siskelijärvi,3,108 ha
Pieni-Peranka,1,130 ha
Raidonjärvi,1,27 ha
"Iso Lauttalampi",3,24 ha
Keltalampi,15,52 ha
Självik,1,3 ha
"Pieni Kokonlampi",1,3 ha
Tsoarvesaiva,1,8 ha
Syvälammi,1,4 ha
Rimmi,3,9 ha
Purstijoenlampi,1,5 ha
Iso-Suokko,1,26 ha
Lippamonlampi,1,1 ha
Jumalislampi,1,16 ha
Tuomalampi,1,2 ha
Tolvanlampi,2,118 ha
Petäjäjärvi,24,1 265 ha
Kattavalampi,2,30 ha
Aitelompolo,1,11 ha
Jyrkänjärvi,1,24 ha
Maunonlampi,2,24 ha
Pyhältö,1,67 ha
Yhelmysjärvi,1,13 ha
Savuslampi,2,49 ha
Valkeistenlampi,1,9 ha
Skaidejavri,1,45 ha
Pikku-Naamanka,1,2 ha
Ala-Kaakko,1,2 ha
Kauppinen,2,168 ha
Kackurträsket,1,2 ha
Laakeenlampi,1,22 ha
Suuri-Kaijo,1,15 ha
Niittyselkä,1,78 ha
Tontinlahti,1,3 ha
"Alimmainen Mikonlampi",1,3 ha
Petralampi,5,18 ha
"Ylimmäinen Alttojärvi",1,19 ha
Jylhänjärvi,2,23 ha
Mertoslammi,1,3 ha
Keski-Silmunen,1,2 ha
HumAla-aro,1,1 ha
Menlahdenperä,1,2 ha
Kahilammi,3,34 ha
Pallasjärvi,1,1 726 ha
Jäteallas,1,7 ha
Äkäsjärvi,1,1 310 ha
Suuri-Valkee,1,18 ha
"Iso Laklemijärvi",1,134 ha
Työjärvi,2,5 ha
Suuri-Pieksä,1,1 251 ha
Karhusuonlampi,1,2 ha
Suvantojärvi,1,291 ha
Ruovesi,1,6 608 ha
Sappeenjärvi,1,41 ha
Verikäs,2,14 ha
Pieni-Siitari,1,2 ha
Iso-Kopatti,1,185 ha
Anisenlampi,1,2 ha
Mölönjärvi,1,25 ha
Kivivuopajajärvi,1,26 ha
Turasenlammi,1,1 ha
Ylä-Käkijärvi,1,6 ha
"Pieni Joutenlampi",9,17 ha
Tuulusjärvi,1,40 ha
Yli-Julma,1,6 ha
Iso-Kilolampi,1,2 ha
Irdoaijavri,1,14 ha
Pieni-Kontunen,2,12 ha
Telkkälammi,2,3 ha
"Pieni Hietajärvi",6,119 ha
Varttilampi,1,14 ha
Syöttäjäinen,1,5 ha
Pieni-Pahkajärvi,1,2 ha
"Iso Hanhilampi",10,56 ha
Hyrsynlampi,1,3 ha
Ruhanlammi,1,1 ha
Kaakkurinjärvi,2,9 ha
Sorkanlampi,1,3 ha
Pikjärv,1,1 ha
Kakkaralampi,2,4 ha
Blomträsket,1,146 ha
Anodjavri,1,5 ha
Vekarus,1,20 ha
Sulunlampi,3,9 ha
Sorinki,1,4 ha
"Yläinen Kalajärvi",1,13 ha
Markanlampi,1,3 ha
"Ylinen Salmijärvi",1,4 ha
Tupasijajärvi,1,4 ha
Raja-Varis,1,21 ha
Pieni-Uva,1,52 ha
Hiitamolampi,1,170 ha
Törmäsjärvi,2,841 ha
Joukahaislampi,1,6 ha
Viisajärvi,1,7 ha
Kauriolampi,4,39 ha
Nämatisladdu,1,7 ha
"Iso Nikjärvi",1,15 ha
Pyyrälampi,1,4 ha
Ylä-Taivaljärvi,1,9 ha
Sorakuoppa,1,1 ha
Vierusjärvi,1,463 ha
Napesjön,1,21 ha
Vähä-Vuotunki,1,110 ha
Suonnanjärvi,1,13 ha
Etelälampi,9,67 ha
Heinonlampi,1,3 ha
Pikkusärkkä,1,2 ha
Killeräjärvi,1,11 ha
Vuotjärvi,1,5 650 ha
Juomuslampi,1,17 ha
Torkkelinlampi,1,5 ha
Kuurajärvi,1,55 ha
Liukunlampi,1,2 ha
Vaulujärvi,1,9 ha
Kaarantojärvi,1,187 ha
Fiskarviken,1,1 ha
"Pieni Pahkajärvi",1,2 ha
Särölammi,2,3 ha
Pikku-Köyrinen,1,3 ha
Häkinlampi,1,1 ha
Runtinlampi,1,3 ha
Kalottimenjärvi,1,3 ha
Lampi,2,5 ha
Iso-Haiskari,1,4 ha
"Iskmo sund",1,15 ha
Länkkyjärvi,1,7 ha
Joutilasjärvi,1,27 ha
Kertomuksenjärvi,1,1 ha
Metsä-Viemärilampi,1,3 ha
"Iso Mustalammi",1,4 ha
Hurus,1,21 ha
Sonkajärvi,3,957 ha
Joki-Keskinen,1,4 ha
"Iso Nuoluanjärvi",1,83 ha
Niinilampi,20,102 ha
Nurmijärvi,7,1 282 ha
Kaurionlampi,1,6 ha
Pykällampi,1,1 ha
Raitlampi,1,4 ha
Höksönlampi,1,19 ha
Paha-Paavila,1,4 ha
Nådjärv,1,40 ha
Nielujärvi,1,55 ha
Rapakkojärvi,2,31 ha
Turronjärvi,1,5 ha
Matinlompolojärvi,1,21 ha
Oksettaja,1,10 ha
Karhunpesälampi,1,2 ha
Myetkijaaurads,1,4 ha
Passinlampi,1,2 ha
Roukajärvi,1,123 ha
Enonjärvi,2,903 ha
"Iso Ohtislammi",1,6 ha
"Ylimmäinen Leppäjärvi",1,6 ha
Onkamojärvi,1,1 905 ha
Perjantaijärvi,1,12 ha
Seittijärvi,1,32 ha
"Iso Sirkkalampi",2,27 ha
"Stora Seljes",1,62 ha
Keskinen-Kihlua,1,3 ha
Varjolanjärvi,1,19 ha
Lahdenperänlampi,1,7 ha
Molikonlampi,1,4 ha
Ylä-Hoikka,1,5 ha
Toinen-Saava,1,20 ha
Aapalampi,11,56 ha
Palonen,5,214 ha
Pentojärvi,1,35 ha
Santerinlampi,1,1 ha
Iso-Pahalampi,1,6 ha
Rapalampi,20,88 ha
"Pieni Syrjäjärvi",1,33 ha
Joutsenvaaranlampi,1,5 ha
Homejärvi,1,4 ha
Tuokalainen,1,3 ha
Karhupäänlampi,1,4 ha
"Ylimmäinen Palajärvi",1,13 ha
"Musta Hinkalo",1,1 ha
Luorueenlampi,1,16 ha
Haaramoukku,1,7 ha
Ilmakkalampi,1,8 ha
Loukusanjärvi,1,242 ha
Määtsänlampi,1,1 ha
Koskio,1,249 ha
Ala-Merisalmi,1,14 ha
Tuhtijärvi,1,3 ha
Rikulaisenriipi,1,2 ha
Jouhtenus,5,69 ha
Turpajärvi,1,14 ha
Sontatunkiolampi,1,2 ha
Kielekänjärvi,1,61 ha
Aittolampi,30,187 ha
Naatsukkajärvi,2,8 ha
Pötkysjärvi,1,2 ha
Kahkkorladdu,1,2 ha
Saitajärvi,3,57 ha
Kairilampi,1,2 ha
"Alimmainen Palojärvi",1,23 ha
Palolatvalampi,1,3 ha
"Pieni Musta",1,2 ha
Kuhjonlampi,2,13 ha
"Pieni Murtojärvi",1,1 ha
Rikalanlammi,1,6 ha
Paasmatinlampi,1,2 ha
Karkulampi,12,56 ha
"Ylimmäinen Kokanlampi",1,8 ha
"Iso Pihtijärvi",1,27 ha
Pukkilanjärvi,1,22 ha
"Toinen Pahkalanlampi",1,3 ha
Suoramanjärvi,1,14 ha
Löytölampi,42,165 ha
Viekuranlampi,1,5 ha
Käyrälampi,7,119 ha
Liekune,1,5 021 ha
Kurijärvi,1,9 ha
Kotataipaleenjärvi,1,28 ha
Uurtaanjärvi,1,147 ha
Ukkojärvi,1,23 ha
"Mågby träsk",1,20 ha
Illoistenjärvi,1,9 ha
Länabbträsket,1,32 ha
Ranilampi,1,3 ha
Vihalampi,1,4 ha
"Pieni Koiralampi",3,8 ha
Ollijärvi,3,12 ha
Ladnajärvi,2,46 ha
Malijärvi,1,10 ha
Trädträsket,1,2 ha
Puskujärvi,1,20 ha
Joutsjärvi,9,1 183 ha
Täyttäänlampi,1,6 ha
Hiukkajärvi,1,15 ha
Petronpyörre,1,2 ha
Makealampi,1,3 ha
Kallio-Rostuvi,1,27 ha
